2026-04-20 16:01:40 | PLAY   | I'll Like You | ILLIT | I'LL LIKE YOU - EP | 127.684997558594s
2026-04-20 16:19:19 | PLAY   | After LIKE | IVE | After LIKE - Single | 176.973007202148s
2026-04-20 16:19:20 | PLAY   | After LIKE | IVE | After LIKE - Single | 176.973007202148s
2026-04-20 16:19:35 | PLAY   | REBEL HEART | IVE | IVE EMPATHY - EP | 188.266998291016s
2026-04-20 16:19:36 | PLAY   | REBEL HEART | IVE | IVE EMPATHY - EP | 188.266998291016s
2026-04-20 16:22:44 | PLAY   | STYLE | Hearts2Hearts | STYLE - Single | 209.671005249023s
2026-04-20 16:22:44 | PLAY   | STYLE | Hearts2Hearts | STYLE - Single | 209.671005249023s
2026-04-20 16:26:14 | PLAY   | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-20 16:26:15 | PLAY   | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-20 16:28:30 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-20 16:28:30 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-20 16:31:23 | RESUME | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-20 16:31:23 | RESUME | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-20 16:31:38 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-20 16:31:38 | PAUSE  | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-20 16:40:00 | PLAY   | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 16:40:00 | PLAY   | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 16:42:54 | PLAY   | พี่ชอบหนูที่สุดเลย (I Like You The Most) [feat. VARINZ] | PONCHET | พี่ชอบหนูที่สุดเลย (feat. VARINZ) - Single | 186.514007568359s
2026-04-20 16:42:54 | PLAY   | พี่ชอบหนูที่สุดเลย (I Like You The Most) [feat. VARINZ] | PONCHET | พี่ชอบหนูที่สุดเลย (feat. VARINZ) - Single | 186.514007568359s
2026-04-20 16:46:00 | PLAY   | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 16:46:00 | PLAY   | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 16:48:51 | PLAY   | พี่ชอบหนูที่สุดเลย (I Like You The Most) [feat. VARINZ] | PONCHET | พี่ชอบหนูที่สุดเลย (feat. VARINZ) - Single | 186.514007568359s
2026-04-20 16:48:51 | PLAY   | พี่ชอบหนูที่สุดเลย (I Like You The Most) [feat. VARINZ] | PONCHET | พี่ชอบหนูที่สุดเลย (feat. VARINZ) - Single | 186.514007568359s
2026-04-20 16:51:30 | PLAY   | Who is she | KISS OF LIFE | Who is she - Single | 159.0s
2026-04-20 16:51:30 | PLAY   | Who is she | KISS OF LIFE | Who is she - Single | 159.0s
2026-04-20 16:54:10 | PLAY   | Don't mind me | KISS OF LIFE | Who is she - Single | 180.042999267578s
2026-04-20 16:54:10 | PLAY   | Don't mind me | KISS OF LIFE | Who is she - Single | 180.042999267578s
2026-04-20 16:57:10 | PLAY   | Who is she | KISS OF LIFE | Who is she - Single | 159.0s
2026-04-20 16:57:10 | PLAY   | Who is she | KISS OF LIFE | Who is she - Single | 159.0s
2026-04-20 16:59:49 | PLAY   | Don't mind me | KISS OF LIFE | Who is she - Single | 180.042999267578s
2026-04-20 16:59:49 | PLAY   | Don't mind me | KISS OF LIFE | Who is she - Single | 180.042999267578s
2026-04-20 17:00:35 | REPLAY | Don't mind me | KISS OF LIFE | Who is she - Single | 180.042999267578s
2026-04-20 17:00:35 | REPLAY | Don't mind me | KISS OF LIFE | Who is she - Single | 180.042999267578s
2026-04-20 17:00:37 | PLAY   | Who is she | KISS OF LIFE | Who is she - Single | 159.0s
2026-04-20 17:00:37 | PLAY   | Who is she | KISS OF LIFE | Who is she - Single | 159.0s
2026-04-20 17:00:50 | PLAY   | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 17:00:50 | PLAY   | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 17:01:11 | PLAY   | พี่ชอบหนูที่สุดเลย (I Like You The Most) [feat. VARINZ] | PONCHET | พี่ชอบหนูที่สุดเลย (feat. VARINZ) - Single | 186.514007568359s
2026-04-20 17:01:11 | PLAY   | พี่ชอบหนูที่สุดเลย (I Like You The Most) [feat. VARINZ] | PONCHET | พี่ชอบหนูที่สุดเลย (feat. VARINZ) - Single | 186.514007568359s
2026-04-20 17:04:19 | PLAY   | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 17:04:19 | PLAY   | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 17:07:08 | REPLAY | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 17:07:08 | REPLAY | Mono (feat. skaiwater) | i-dle | Mono (feat. skaiwater) - Single | 170.0s
2026-04-20 17:07:10 | PLAY   | พี่ชอบหนูที่สุดเลย (I Like You The Most) [feat. VARINZ] | PONCHET | พี่ชอบหนูที่สุดเลย (feat. VARINZ) - Single | 186.514007568359s
2026-04-20 17:07:10 | PLAY   | พี่ชอบหนูที่สุดเลย (I Like You The Most) [feat. VARINZ] | PONCHET | พี่ชอบหนูที่สุดเลย (feat. VARINZ) - Single | 186.514007568359s
2026-04-20 17:07:42 | PLAY   | Unreal (LIZ Solo) | IVE | REVIVE+ | 162.0s
2026-04-20 17:07:42 | PLAY   | Unreal (LIZ Solo) | IVE | REVIVE+ | 162.0s
2026-04-20 17:10:27 | PLAY   | ABCD | NAYEON | NA | 162.839996337891s
2026-04-20 17:10:27 | PLAY   | ABCD | NAYEON | NA | 162.839996337891s
2026-04-20 17:10:50 | PAUSE  | ABCD | NAYEON | NA | 162.839996337891s
2026-04-20 17:10:50 | PAUSE  | ABCD | NAYEON | NA | 162.839996337891s
2026-04-20 17:11:03 | RESUME | ABCD | NAYEON | NA | 162.839996337891s
2026-04-20 17:11:03 | RESUME | ABCD | NAYEON | NA | 162.839996337891s
2026-04-20 17:13:23 | PLAY   | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:13:23 | PLAY   | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:13:39 | PAUSE  | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:13:39 | PAUSE  | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:19:13 | RESUME | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:19:13 | RESUME | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:19:30 | PAUSE  | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:19:30 | PAUSE  | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:20:24 | RESUME | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:20:24 | RESUME | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:20:41 | PAUSE  | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:20:41 | PAUSE  | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:22:21 | RESUME | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:22:21 | RESUME | Midas Touch | KISS OF LIFE | Midas Touch - Single | 162.880004882812s
2026-04-20 17:24:16 | PLAY   | EASY | LE SSERAFIM | EASY - EP | 164.544998168945s
2026-04-20 17:24:16 | PLAY   | EASY | LE SSERAFIM | EASY - EP | 164.544998168945s
2026-04-20 17:26:36 | PLAY   | CRAZY | LE SSERAFIM | CRAZY - EP | 164.554000854492s
2026-04-20 17:26:36 | PLAY   | CRAZY | LE SSERAFIM | CRAZY - EP | 164.554000854492s
2026-04-20 17:29:21 | PLAY   | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-20 17:29:21 | PLAY   | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-20 17:32:08 | PLAY   | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-20 17:32:08 | PLAY   | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-20 17:32:16 | PAUSE  | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-20 17:32:16 | PAUSE  | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-20 17:33:21 | RESUME | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-20 17:33:21 | RESUME | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-20 18:08:38 | PAUSE  | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-20 18:08:39 | PAUSE  | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-21 09:06:28 | REPLAY | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-21 09:06:28 | REPLAY | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-21 09:06:59 | PAUSE  | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-21 09:06:59 | PAUSE  | SIGN | izna | SIGN - Single | 166.613006591797s
2026-04-21 09:48:42 | PLAY   | Either Way | IVE | I'VE MINE - EP | 166.947006225586s
2026-04-21 09:48:42 | PLAY   | Either Way | IVE | I'VE MINE - EP | 166.947006225586s
2026-04-21 09:51:32 | PLAY   | Sunday Driver | TOMORROW X TOGETHER | The Star Chapter: TOGETHER | 167.235992431641s
2026-04-21 09:51:32 | PLAY   | Sunday Driver | TOMORROW X TOGETHER | The Star Chapter: TOGETHER | 167.235992431641s
2026-04-21 09:54:19 | PLAY   | eight (feat. SUGA) | IU | eight (feat. SUGA) - Single | 167.572998046875s
2026-04-21 09:54:19 | PLAY   | eight (feat. SUGA) | IU | eight (feat. SUGA) - Single | 167.572998046875s
2026-04-21 09:57:09 | PLAY   | HOT COFFEE | IVE | REVIVE+ | 168.0s
2026-04-21 09:57:09 | PLAY   | HOT COFFEE | IVE | REVIVE+ | 168.0s
2026-04-21 09:59:56 | PLAY   | Get Loud | KISS OF LIFE | Lose Yourself | 169.973007202148s
2026-04-21 09:59:56 | PLAY   | Get Loud | KISS OF LIFE | Lose Yourself | 169.973007202148s
2026-04-21 10:02:46 | PLAY   | Odd (GAEUL Solo) | IVE | REVIVE+ | 170.0s
2026-04-21 10:02:46 | PLAY   | Odd (GAEUL Solo) | IVE | REVIVE+ | 170.0s
2026-04-21 10:05:35 | PLAY   | To. X | TAEYEON | To. X - The 5th Mini Album - EP | 170.386993408203s
2026-04-21 10:05:35 | PLAY   | To. X | TAEYEON | To. X - The 5th Mini Album - EP | 170.386993408203s
2026-04-21 10:08:27 | PLAY   | Who | Jimin | MUSE | 170.888000488281s
2026-04-21 10:08:27 | PLAY   | Who | Jimin | MUSE | 170.888000488281s
2026-04-21 10:11:00 | PAUSE  | Who | Jimin | MUSE | 170.888000488281s
2026-04-21 10:11:00 | PAUSE  | Who | Jimin | MUSE | 170.888000488281s
2026-04-21 10:11:06 | RESUME | Who | Jimin | MUSE | 170.888000488281s
2026-04-21 10:11:06 | RESUME | Who | Jimin | MUSE | 170.888000488281s
2026-04-21 10:11:25 | PLAY   | FREAK | YUQI | YUQ1 | 171.080001831055s
2026-04-21 10:11:25 | PLAY   | FREAK | YUQI | YUQ1 | 171.080001831055s
2026-04-21 10:14:17 | PLAY   | R.E.M | KISS OF LIFE | Lose Yourself | 172.772994995117s
2026-04-21 10:14:17 | PLAY   | R.E.M | KISS OF LIFE | Lose Yourself | 172.772994995117s
2026-04-21 10:17:10 | REPLAY | R.E.M | KISS OF LIFE | R.E.M - Single | 172.772994995117s
2026-04-21 10:17:10 | REPLAY | R.E.M | KISS OF LIFE | R.E.M - Single | 172.772994995117s
2026-04-21 10:20:02 | PLAY   | Your Love | JISOO | AMORTAGE - EP | 173.231994628906s
2026-04-21 10:20:02 | PLAY   | Your Love | JISOO | AMORTAGE - EP | 173.231994628906s
2026-04-21 10:21:00 | PAUSE  | Your Love | JISOO | AMORTAGE - EP | 173.231994628906s
2026-04-21 10:21:00 | PAUSE  | Your Love | JISOO | AMORTAGE - EP | 173.231994628906s
2026-04-21 10:21:24 | RESUME | Your Love | JISOO | AMORTAGE - EP | 173.231994628906s
2026-04-21 10:21:24 | RESUME | Your Love | JISOO | AMORTAGE - EP | 173.231994628906s
2026-04-21 10:23:19 | PLAY   | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 10:23:19 | PLAY   | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
2026-04-21 10:23:57 | PLAY   | You Wanna Cry | IVE | IVE EMPATHY - EP | 174.50700378418s
2026-04-21 10:23:57 | PLAY   | You Wanna Cry | IVE | IVE EMPATHY - EP | 174.50700378418s
2026-04-21 10:26:53 | PLAY   | Cherish (My Love) | ILLIT | I'LL LIKE YOU - EP | 176.85400390625s
2026-04-21 10:26:53 | PLAY   | Cherish (My Love) | ILLIT | I'LL LIKE YOU - EP | 176.85400390625s
2026-04-21 10:27:59 | PAUSE  | Cherish (My Love) | ILLIT | I'LL LIKE YOU - EP | 176.85400390625s
2026-04-21 10:27:59 | PAUSE  | Cherish (My Love) | ILLIT | I'LL LIKE YOU - EP | 176.85400390625s
2026-04-21 10:28:26 | RESUME | Cherish (My Love) | ILLIT | I'LL LIKE YOU - EP | 176.85400390625s
2026-04-21 10:28:26 | RESUME | Cherish (My Love) | ILLIT | I'LL LIKE YOU - EP | 176.85400390625s
2026-04-21 10:30:16 | PLAY   | After LIKE | IVE | After LIKE - Single | 176.973007202148s
2026-04-21 10:30:16 | PLAY   | After LIKE | IVE | After LIKE - Single | 176.973007202148s
2026-04-21 10:33:13 | REPLAY | After LIKE | IVE | After LIKE - Single | 176.973007202148s
2026-04-21 10:33:13 | REPLAY | After LIKE | IVE | After LIKE - Single | 176.973007202148s
2026-04-21 10:33:15 | PLAY   | LOVE DIVE | IVE | LOVE DIVE - Single | 177.186996459961s
2026-04-21 10:33:15 | PLAY   | LOVE DIVE | IVE | LOVE DIVE - Single | 177.186996459961s
2026-04-21 10:36:12 | PLAY   | BANG BANG | IVE | REVIVE+ | 178.046005249023s
2026-04-21 10:36:12 | PLAY   | BANG BANG | IVE | REVIVE+ | 178.046005249023s
2026-04-21 10:39:10 | PLAY   | WOW | IVE | IVE SWITCH - EP | 178.572998046875s
2026-04-21 10:39:10 | PLAY   | WOW | IVE | IVE SWITCH - EP | 178.572998046875s
2026-04-21 10:42:07 | PLAY   | Tonight | Jin | Tonight - Single | 178.805999755859s
2026-04-21 10:42:07 | PLAY   | Tonight | Jin | Tonight - Single | 178.805999755859s
2026-04-21 10:45:06 | PLAY   | Supernova | aespa | Armageddon - The 1st Album | 178.880004882812s
2026-04-21 10:45:06 | PLAY   | Supernova | aespa | Armageddon - The 1st Album | 178.880004882812s
2026-04-21 10:46:32 | PLAY   | 404 (New Era) | KiiiKiii | Delulu Pack - EP | 179.587005615234s
2026-04-21 10:46:32 | PLAY   | 404 (New Era) | KiiiKiii | Delulu Pack - EP | 179.587005615234s
2026-04-21 10:48:09 | PAUSE  | 404 (New Era) | KiiiKiii | Delulu Pack - EP | 179.587005615234s
2026-04-21 10:48:09 | PAUSE  | 404 (New Era) | KiiiKiii | Delulu Pack - EP | 179.587005615234s
2026-04-21 10:48:44 | RESUME | 404 (New Era) | KiiiKiii | Delulu Pack - EP | 179.587005615234s
2026-04-21 10:48:44 | RESUME | 404 (New Era) | KiiiKiii | Delulu Pack - EP | 179.587005615234s
2026-04-21 10:50:08 | PLAY   | Don’t Say You Love Me | Jin | Echo | 180.716003417969s
2026-04-21 10:50:08 | PLAY   | Don’t Say You Love Me | Jin | Echo | 180.716003417969s
2026-04-21 10:51:13 | PAUSE  | Don’t Say You Love Me | Jin | Echo | 180.716003417969s
2026-04-21 10:51:13 | PAUSE  | Don’t Say You Love Me | Jin | Echo | 180.716003417969s
2026-04-21 10:51:19 | RESUME | Don’t Say You Love Me | Jin | Echo | 180.716003417969s
2026-04-21 10:51:19 | RESUME | Don’t Say You Love Me | Jin | Echo | 180.716003417969s
2026-04-21 10:53:16 | PLAY   | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 10:53:16 | PLAY   | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 10:56:16 | REPLAY | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 10:56:16 | REPLAY | Lips | IVE | I've IVE | 181.399993896484s
2026-04-21 10:56:18 | PLAY   | Can't Control Myself | TAEYEON | INVU - The 3rd Album | 181.600006103516s
2026-04-21 10:56:18 | PLAY   | Can't Control Myself | TAEYEON | INVU - The 3rd Album | 181.600006103516s
2026-04-21 10:56:39 | PLAY   | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
2026-04-21 10:56:39 | PLAY   | I'll Be There | Jin | I'll Be There - Single | 181.677993774414s
2026-04-21 10:56:41 | PLAY   | HOT (English ver.) | LE SSERAFIM | HOT (English ver.) - EP | 143.798004150391s
2026-04-21 10:56:41 | PLAY   | HOT (English ver.) | LE SSERAFIM | HOT (English ver.) - EP | 143.798004150391s
2026-04-21 10:59:06 | PLAY   | Heaven | TOMORROW X TOGETHER | The Star Chapter: SANCTUARY - EP | 154.988998413086s
2026-04-21 10:59:06 | PLAY   | Heaven | TOMORROW X TOGETHER | The Star Chapter: SANCTUARY - EP | 154.988998413086s
2026-04-21 11:01:41 | PLAY   | Hare Hare | TWICE | Hare Hare - EP | 203.546997070312s
2026-04-21 11:01:42 | PLAY   | Hare Hare | TWICE | Hare Hare - EP | 203.546997070312s
2026-04-21 11:01:48 | PLAY   | Roller Coaster | CHUNG HA | Offset - EP | 212.136001586914s
2026-04-21 11:01:50 | PLAY   | Roller Coaster | CHUNG HA | Offset - EP | 212.136001586914s
2026-04-21 11:01:54 | PLAY   | YEPPI YEPPI | aespa | Savage - The 1st Mini Album - EP | 213.559997558594s
2026-04-21 11:01:56 | PLAY   | YEPPI YEPPI | aespa | Savage - The 1st Mini Album - EP | 213.559997558594s
2026-04-21 11:05:27 | PAUSE  | YEPPI YEPPI | aespa | Savage - The 1st Mini Album - EP | 213.559997558594s
2026-04-21 11:05:27 | PAUSE  | YEPPI YEPPI | aespa | Savage - The 1st Mini Album - EP | 213.559997558594s
2026-04-21 11:14:42 | REPLAY | YEPPI YEPPI | aespa | Savage - The 1st Mini Album - EP | 213.559997558594s
2026-04-21 11:14:42 | REPLAY | YEPPI YEPPI | aespa | Savage - The 1st Mini Album - EP | 213.559997558594s
2026-04-21 11:14:46 | PLAY   | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:14:46 | PLAY   | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:14:59 | PAUSE  | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:14:59 | PAUSE  | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:15:43 | RESUME | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:15:43 | RESUME | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:15:54 | PAUSE  | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:15:54 | PAUSE  | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:19:07 | RESUME | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:19:07 | RESUME | Perfect Night | LE SSERAFIM | Perfect Night - Single | 159.080001831055s
2026-04-21 11:21:24 | PLAY   | After LIKE | IVE | After LIKE - Single | 176.973007202148s
2026-04-21 11:21:24 | PLAY   | After LIKE | IVE | After LIKE - Single | 176.973007202148s
2026-04-21 11:24:21 | PLAY   | All Night | IVE & Saweetie | All Night - Single | 197.764007568359s
2026-04-21 11:24:21 | PLAY   | All Night | IVE & Saweetie | All Night - Single | 197.764007568359s
2026-04-21 11:27:39 | PLAY   | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:27:39 | PLAY   | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:30:36 | PAUSE  | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:30:36 | PAUSE  | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:30:53 | RESUME | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:30:53 | RESUME | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:31:10 | PAUSE  | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:31:10 | PAUSE  | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:31:18 | RESUME | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:31:18 | RESUME | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:31:29 | PAUSE  | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:31:29 | PAUSE  | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:56:31 | RESUME | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:56:32 | REPLAY | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:56:34 | PAUSE  | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 11:56:36 | PAUSE  | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 14:02:38 | RESUME | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 14:02:38 | RESUME | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 14:02:42 | REPLAY | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 14:02:42 | REPLAY | CRY FOR ME | TWICE | CRY FOR ME - Single | 204.167999267578s
2026-04-21 14:02:47 | PLAY   | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 14:02:47 | PLAY   | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 14:03:12 | PAUSE  | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 14:03:12 | PAUSE  | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 14:05:41 | RESUME | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 14:05:41 | RESUME | Smart | LE SSERAFIM | EASY - EP | 166.384002685547s
2026-04-21 14:08:03 | PLAY   | Odd (GAEUL Solo) | IVE | REVIVE+ | 170.0s
2026-04-21 14:08:03 | PLAY   | Odd (GAEUL Solo) | IVE | REVIVE+ | 170.0s
2026-04-21 14:10:52 | PLAY   | ATTITUDE | IVE | IVE EMPATHY - EP | 194.733001708984s
2026-04-21 14:10:52 | PLAY   | ATTITUDE | IVE | IVE EMPATHY - EP | 194.733001708984s
2026-04-21 14:11:41 | PAUSE  | ATTITUDE | IVE | IVE EMPATHY - EP | 194.733001708984s
2026-04-21 14:11:41 | PAUSE  | ATTITUDE | IVE | IVE EMPATHY - EP | 194.733001708984s
2026-04-21 14:31:09 | PLAY   | WE GO UP | BABYMONSTER | WE GO UP - EP | 186.973007202148s
2026-04-21 14:31:09 | PLAY   | WE GO UP | BABYMONSTER | WE GO UP - EP | 186.973007202148s
2026-04-21 14:34:18 | PLAY   | Anti-Romantic | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 215.188995361328s
2026-04-21 14:34:18 | PLAY   | Anti-Romantic | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 215.188995361328s
2026-04-21 14:34:54 | PAUSE  | Anti-Romantic | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 215.188995361328s
2026-04-21 14:34:54 | PAUSE  | Anti-Romantic | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 215.188995361328s
2026-04-21 14:34:56 | RESUME | Anti-Romantic | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 215.188995361328s
2026-04-21 14:34:56 | RESUME | Anti-Romantic | TOMORROW X TOGETHER | The Chaos Chapter : FREEZE | 215.188995361328s
2026-04-21 14:37:57 | PLAY   | I GOT YOU | TWICE | I GOT YOU - Single | 173.240005493164s
